url,name,price,rating,reviews
https://www.amazon.in/HAMMONDS-FLYCATCHER-Laptop-Bag-Men/dp/B083M1QK32,,,,
https://www.amazon.in/HAMMONDS-FLYCATCHER-Laptop-Bag-Men/dp/B083M1QK32#customerReviews,,,,
https://www.amazon.in/gp/goldbox/,,,,
https://www.amazon.in/HAMMONDS-FLYCATCHER-Laptop-Bag-Men/dp/B083M1QK32,,,,
https://www.amazon.in/ASUS-Backpack-Cross-Dyed-Material-Suitable/dp/B09Q68446F,,,,
https://www.amazon.in/ASUS-Backpack-Cross-Dyed-Material-Suitable/dp/B09Q68446F,,,,
https://www.amazon.in/ASUS-Backpack-Cross-Dyed-Material-Suitable/dp/B09Q68446F#customerReviews,,,,
https://www.amazon.in/ASUS-Backpack-Cross-Dyed-Material-Suitable/dp/B09Q68446F,,,,
https://www.amazon.in/Frantic-Travelling-Backpacks-Preschool-FullBody_SkyElehpant/dp/B0BD5JQX7T,,,,
https://www.amazon.in/Frantic-Travelling-Backpacks-Preschool-FullBody_SkyElehpant/dp/B0BD5JQX7T,,,,
https://www.amazon.in/Frantic-Travelling-Backpacks-Preschool-FullBody_SkyElehpant/dp/B0BD5JQX7T#customerReviews,,,,
https://www.amazon.in/gp/goldbox/,,,,
https://www.amazon.in/Frantic-Travelling-Backpacks-Preschool-FullBody_SkyElehpant/dp/B0BD5JQX7T,,,,
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=nQuTu&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=CRQB668PA8RX85VPGXRZ&pd_rd_wg=MGR6V&pd_rd_r=7e846393-eba1-476f-a745-8b2b62c8c5ed&qid=1692631020,,,,
https://www.amazon.in/s/?k=skybags&ref=sugsr_3&pd_rd_w=nQuTu&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=CRQB668PA8RX85VPGXRZ&pd_rd_wg=MGR6V&pd_rd_r=7e846393-eba1-476f-a745-8b2b62c8c5ed&qid=1692631020,,,,
https://www.amazon.in/s/?k=bags+for+travelling&ref=sugsr_1&pd_rd_w=nQuTu&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=CRQB668PA8RX85VPGXRZ&pd_rd_wg=MGR6V&pd_rd_r=7e846393-eba1-476f-a745-8b2b62c8c5ed&qid=1692631020,,,,
https://www.amazon.in/s/?k=wildcraft+bags&ref=sugsr_4&pd_rd_w=nQuTu&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=CRQB668PA8RX85VPGXRZ&pd_rd_wg=MGR6V&pd_rd_r=7e846393-eba1-476f-a745-8b2b62c8c5ed&qid=1692631020,,,,
